"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl"
1229057821.313,28.117,80.946,1.89e-21,3977.720,27.750,7945.525879,0.000,0.000,1.000,"tihveWX1dQ","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/tihveWX1dQ.png"
1228992907.094,26.670,35.663,1.06e-21,3982.170,5.640,7936.626465,0.000,0.000,1.000,"gfGmGwgTBw","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/gfGmGwgTBw.png"
1228994072.938,28.117,34.323,8.31e-22,3726.615,3.302,7429.097656,0.000,0.000,1.000,"yfs8SXtr6C","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/yfs8SXtr6C.png"
1228976330.188,27.134,55.934,1.26e-21,2782.339,3.000,5535.706055,0.000,0.000,1.000,"97Uyv7NNxn","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/97Uyv7NNxn.png"
1229053489.125,32.499,88.811,1.50e-21,3977.241,32.562,7946.482910,0.000,0.000,1.000,"aVjtMgPUAa","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/aVjtMgPUAa.png"
1228969398.188,26.655,43.016,1.05e-21,1895.495,3.000,3762.018311,0.000,0.000,1.000,"2vH5GN8s4d","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/2vH5GN8s4d.png"
1228986413.938,26.184,43.899,1.16e-21,3977.241,15.095,7946.482910,0.000,0.000,1.000,"q5TKF2QMvA","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/q5TKF2QMvA.png"
1228977314.188,24.822,46.247,1.33e-21,3982.484,4.029,7935.997070,0.000,0.000,1.000,"yhQksqljG2","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/yhQksqljG2.png"
1228991407.063,26.184,29.642,8.01e-22,3982.484,4.641,7935.997070,0.000,0.000,1.000,"RmakOEXwyr","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/RmakOEXwyr.png"
1228991822.438,23.953,31.907,1.46e-21,3978.769,2.537,7943.428223,0.000,0.000,1.000,"Ghvr7GsgXc","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/Ghvr7GsgXc.png"
1228973715.813,25.722,36.952,1.10e-21,39.746,2.250,50.521221,0.000,0.000,1.000,"SfJzvpC1pU","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/SfJzvpC1pU.png"
1228983366.563,24.822,26.235,9.91e-22,3977.720,12.997,7945.525879,0.000,0.000,1.000,"7nAdos1MeH","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/7nAdos1MeH.png"
1228993058.813,31.288,72.426,1.22e-21,3977.720,4.282,7945.525879,0.000,0.000,1.000,"YmDzyx2quq","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/YmDzyx2quq.png"
1228991800.797,25.687,17.522,5.61e-22,3982.484,2.250,7935.997070,0.000,0.000,1.000,"YwjtmF9avO","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/YwjtmF9avO.png"
1228969346.563,21.146,21.205,1.63e-21,3977.720,6.038,7945.525879,0.000,0.000,1.000,"e2TW7aol7Y","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/e2TW7aol7Y.png"
1228974798.438,25.722,34.410,9.51e-22,3982.484,2.750,7935.997070,0.000,0.000,1.000,"vJx9YmDAJ7","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/vJx9YmDAJ7.png"
1228985061.938,26.655,45.961,1.16e-21,3981.719,3.060,7937.526367,0.000,0.000,1.000,"Z6BojS2Pim","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/Z6BojS2Pim.png"
